word,id
coal,0
mine,1
works,2
closes,3
father,4
commits,5
suicide,6
finnish,7
man,8
leaves,9
city,10
make,11
living,12
framed,13
imprisoned,14
various,15
crimes,16
nikander,17
rubbish,18
collector,19
would,20
entrepreneur,21
finds,22
plans,23
success,24
dashed,25
business,26
associate,27
dies,28
one,29
evening,30
meets,31
ilona,32
luck,33
cashier,34
local,35
supermarket,36
falteringly,37
bond,38
begins,39
develop,40
ted,41
bellhop,42
first,43
night,44
job,45
hotel,46
unusual,47
guests,48
place,49
outrageous,50
predicaments,51
seems,52
room,53
service,54
serving,55
unbelievable,56
happening,57
another,58
four,59
young,60
friends,61
taking,62
shortcut,63
en,64
route,65
boxing,66
match,67
witness,68
brutal,69
murder,70
running,71
lives,72
timo,73
novotny,74
labels,75
new,76
project,77
experimental,78
music,79
documentary,80
film,81
remix,82
celebrated,83
megacities,84
1997,85
visually,86
refined,87
essay,88
hidden,89
faces,90
several,91
world,92
leading,93
austrian,94
documentarist,95
michael,96
glawogger,97
complements,98
30,99
material,100
taken,101
straight,102
edited,103
70,104
yet,105
unseen,106
footage,107
blends,108
original,109
shots,110
unused,111
sequences,112
shot,113
cameraman,114
wolfgang,115
thaler,116
tokyo,117
alongside,118
japanese,119
metropolis,120
life,121
loops,122
takes,123
us,124
right,125
atmosphere,126
mexico,127
york,128
moscow,129
bombay,130
electrifying,131
combination,132
fascinating,133
images,134
equally,135
compelling,136
soundtrack,137
sofa,138
surfers,139
sets,140
stunning,141
audiovisual,142
adventure,143
across,144
continents,145
also,146
makes,147
contribution,148
discussion,149
trends,150
filmmaking,151
written,152
karlovy,153
vary,154
iff,155
2006,156
princess,157
leia,158
captured,159
held,160
hostage,161
evil,162
imperial,163
forces,164
effort,165
take,166
galactic,167
empire,168
venturesome,169
luke,170
skywalker,171
dashing,172
captain,173
han,174
solo,175
team,176
together,177
loveable,178
robot,179
duo,180
r2,181
d2,182
c,183
3po,184
rescue,185
beautiful,186
restore,187
peace,188
justice,189
nemo,190
adventurous,191
clownfish,192
unexpectedly,193
great,194
barrier,195
reef,196
home,197
dentist,198
office,199
aquarium,200
worrisome,201
marlin,202
friendly,203
forgetful,204
fish,205
dory,206
bring,207
meeting,208
vegetarian,209
sharks,210
surfer,211
dude,212
turtles,213
hypnotic,214
jellyfish,215
hungry,216
seagulls,217
along,218
way,219
low,220
iq,221
accomplished,222
things,223
present,224
significant,225
historic,226
events,227
case,228
far,229
exceeding,230
anyone,231
imagined,232
could,233
despite,234
achieved,235
true,236
love,237
eludes,238
lester,239
burnham,240
depressed,241
suburban,242
mid,243
crisis,244
decides,245
turn,246
hectic,247
around,248
developing,249
infatuation,250
daughter,251
attractive,252
friend,253
newspaper,254
magnate,255
charles,256
foster,257
kane,258
mother,259
boy,260
made,261
ward,262
rich,263
industrialist,264
result,265
every,266
well,267
meaning,268
tyrannical,269
self,270
destructive,271
move,272
rest,273
appears,274
reaction,275
deeply,276
wounding,277
event,278
